playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8471305,2008,Daniel Lacosta,CBJ,G,5on5,3,7704.0,3.6,3.0,103.0,3.45,2.0,13.95,7.0,56.36,56.0,1.95,2.0,32.26,25.0,24.98,39.0,3.49,71.0,5.0,5.0,1.85,0.58,1.17,2.0,1.0,0.0,22.0,0.0,0.0
8471305,2008,Daniel Lacosta,CBJ,G,4on5,3,1037.0,1.77,1.0,29.0,1.26,1.0,3.23,2.0,15.64,16.0,0.05,0.0,10.13,8.0,5.12,10.0,1.64,17.0,3.0,2.0,0.27,0.27,1.24,0.0,0.0,1.0,7.0,0.0,0.0
8471305,2008,Daniel Lacosta,CBJ,G,5on4,3,412.0,0.17,0.0,5.0,0.12,0.0,0.5,1.0,3.68,4.0,0.13,0.0,1.1,0.0,3.01,3.0,0.17,4.0,1.0,0.0,0.06,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8448535,2008,Olie Kolzig,T.B,G,other,8,741.0,2.12,3.0,29.0,1.29,1.0,3.46,2.0,16.0,18.0,0.15,0.0,10.97,13.0,4.6,5.0,1.58,20.0,2.0,2.0,0.46,0.2,1.45,2.0,0.0,1.0,5.0,0.0,0.0
8448535,2008,Olie Kolzig,T.B,G,all,8,24603.0,18.7,25.0,413.0,15.13,14.0,49.85,35.0,218.9,245.0,5.65,7.0,126.52,117.0,94.16,116.0,17.55,238.0,59.0,16.0,6.47,6.66,5.57,6.0,12.0,7.0,100.0,0.0,0.0
8448535,2008,Olie Kolzig,T.B,G,5on5,8,17939.0,11.28,16.0,280.0,9.53,11.0,36.02,23.0,149.9,169.0,4.03,5.0,84.28,76.0,65.06,81.0,10.96,164.0,39.0,8.0,4.71,4.52,2.05,4.0,8.0,4.0,69.0,0.0,0.0
8448535,2008,Olie Kolzig,T.B,G,4on5,8,2676.0,4.89,6.0,87.0,4.02,2.0,9.23,7.0,43.69,46.0,0.09,0.0,28.5,27.0,15.37,20.0,4.6,40.0,18.0,6.0,0.89,1.94,2.06,0.0,4.0,2.0,23.0,0.0,0.0
8448535,2008,Olie Kolzig,T.B,G,5on4,8,3247.0,0.41,0.0,17.0,0.29,0.0,1.15,3.0,9.3,12.0,1.38,2.0,2.76,1.0,9.13,10.0,0.41,14.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
8468550,2008,Mikael Tellqvist,BUF,G,other,21,1465.0,2.52,6.0,46.0,1.5,2.0,3.22,5.0,16.9,23.0,0.38,0.0,11.18,12.0,5.5,6.0,2.35,20.0,9.0,2.0,0.97,1.04,0.51,2.0,4.0,0.0,15.0,0.0,0.0
8468550,2008,Mikael Tellqvist,BUF,G,all,21,60449.0,45.21,47.0,957.0,33.09,25.0,108.38,121.0,485.7,533.0,15.25,15.0,278.31,257.0,212.35,277.0,43.96,583.0,120.0,32.0,17.7,14.48,13.03,13.0,19.0,15.0,222.0,0.0,0.0
8468550,2008,Mikael Tellqvist,BUF,G,5on5,21,46183.0,28.28,27.0,704.0,22.71,17.0,84.39,96.0,359.16,405.0,11.43,12.0,203.77,181.0,159.34,212.0,27.74,440.0,86.0,15.0,13.71,10.43,4.15,8.0,13.0,6.0,163.0,0.0,0.0
8468550,2008,Mikael Tellqvist,BUF,G,4on5,21,6180.0,12.48,13.0,173.0,7.88,4.0,18.37,18.0,91.09,87.0,0.29,0.0,57.67,53.0,32.77,45.0,11.99,100.0,19.0,14.0,2.29,2.22,7.97,3.0,2.0,8.0,40.0,0.0,0.0
8468550,2008,Mikael Tellqvist,BUF,G,5on4,21,6621.0,1.92,1.0,34.0,1.0,2.0,2.4,2.0,18.54,18.0,3.16,3.0,5.69,11.0,14.75,14.0,1.89,23.0,6.0,1.0,0.72,0.79,0.41,0.0,0.0,1.0,4.0,0.0,0.0
8470772,2008,Chris Holt,STL,G,other,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8470772,2008,Chris Holt,STL,G,all,1,1113.0,0.16,0.0,8.0,0.18,0.0,0.58,1.0,2.94,3.0,0.38,1.0,1.54,0.0,1.46,3.0,0.16,4.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
8470772,2008,Chris Holt,STL,G,5on5,1,739.0,0.12,0.0,2.0,0.11,0.0,0.25,0.0,1.39,1.0,0.13,0.0,0.89,0.0,0.59,2.0,0.12,2.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8470772,2008,Chris Holt,STL,G,4on5,1,130.0,0.01,0.0,4.0,0.04,0.0,0.21,1.0,0.76,1.0,0.09,1.0,0.39,0.0,0.32,0.0,0.01,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
8470772,2008,Chris Holt,STL,G,5on4,1,238.0,0.03,0.0,2.0,0.03,0.0,0.12,0.0,0.8,1.0,0.16,0.0,0.26,0.0,0.55,1.0,0.03,1.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8468481,2008,Rick DiPietro,NYI,G,other,5,254.0,0.05,1.0,4.0,0.07,0.0,0.36,1.0,1.66,2.0,0.78,3.0,0.8,0.0,1.67,1.0,0.05,3.0,0.0,0.0,0.05,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
8468481,2008,Rick DiPietro,NYI,G,all,5,15359.0,11.39,15.0,258.0,10.09,13.0,31.98,27.0,137.88,139.0,4.77,5.0,81.31,74.0,56.88,58.0,10.93,152.0,31.0,13.0,3.51,3.65,4.23,4.0,4.0,7.0,62.0,2.0,1.0
8468481,2008,Rick DiPietro,NYI,G,5on5,5,12021.0,7.86,11.0,200.0,6.92,9.0,24.88,23.0,103.37,104.0,3.44,1.0,59.32,48.0,43.81,46.0,7.68,114.0,22.0,10.0,2.58,2.65,2.64,2.0,4.0,5.0,54.0,2.0,1.0
8468481,2008,Rick DiPietro,NYI,G,4on5,5,2000.0,3.41,3.0,50.0,3.05,4.0,6.52,3.0,31.36,31.0,0.07,0.0,20.67,26.0,10.31,9.0,3.13,33.0,9.0,3.0,0.8,1.01,1.6,1.0,0.0,2.0,5.0,0.0,0.0
8468481,2008,Rick DiPietro,NYI,G,5on4,5,1084.0,0.08,0.0,4.0,0.06,0.0,0.22,0.0,1.5,2.0,0.49,1.0,0.52,0.0,1.08,2.0,0.08,2.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
8448382,2008,Curtis Joseph,TOR,G,other,20,1644.0,1.34,1.0,37.0,1.02,0.0,3.2,4.0,16.05,19.0,0.51,0.0,9.02,7.0,8.01,11.0,1.3,18.0,6.0,0.0,0.63,0.71,0.0,0.0,1.0,0.0,13.0,0.0,0.0
8448382,2008,Curtis Joseph,TOR,G,all,20,50142.0,41.08,50.0,748.0,27.95,21.0,88.69,59.0,412.98,383.0,15.04,14.0,226.95,191.0,174.11,241.0,39.57,408.0,127.0,38.0,12.01,15.25,13.81,15.0,18.0,17.0,175.0,0.0,0.0
8448382,2008,Curtis Joseph,TOR,G,5on5,20,38746.0,27.2,33.0,578.0,21.15,15.0,71.64,50.0,323.65,300.0,11.13,8.0,177.88,149.0,140.13,194.0,26.43,329.0,99.0,20.0,9.77,11.76,5.66,13.0,14.0,6.0,130.0,0.0,0.0
8448382,2008,Curtis Joseph,TOR,G,4on5,20,4432.0,12.09,16.0,122.0,5.54,6.0,13.1,4.0,66.76,56.0,0.27,0.0,38.27,34.0,19.38,28.0,11.38,53.0,20.0,18.0,1.42,2.51,8.15,2.0,3.0,11.0,31.0,0.0,0.0
8448382,2008,Curtis Joseph,TOR,G,5on4,20,5320.0,0.46,0.0,11.0,0.24,0.0,0.75,1.0,6.52,8.0,3.13,6.0,1.78,1.0,6.58,8.0,0.46,8.0,2.0,0.0,0.18,0.28,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8462147,2008,Miikka Kiprusoff,CGY,G,other,76,9487.0,17.64,16.0,220.0,8.43,4.0,22.54,24.0,114.96,116.0,3.06,5.0,67.81,65.0,41.87,53.0,16.51,106.0,47.0,20.0,3.94,5.69,8.01,5.0,8.0,3.0,47.0,0.0,0.0
8462147,2008,Miikka Kiprusoff,CGY,G,all,76,265079.0,189.46,209.0,3697.0,145.14,146.0,478.79,499.0,2118.21,2155.0,74.32,68.0,1195.19,920.0,897.98,1157.0,180.78,2260.0,561.0,170.0,63.63,66.79,59.04,73.0,77.0,59.0,706.0,2.0,1.0
8462147,2008,Miikka Kiprusoff,CGY,G,5on5,76,198015.0,114.17,138.0,2601.0,95.41,99.0,357.49,360.0,1502.62,1521.0,55.7,50.0,836.44,614.0,653.89,859.0,110.35,1658.0,370.0,81.0,46.77,44.1,23.31,60.0,49.0,29.0,492.0,2.0,1.0
8462147,2008,Miikka Kiprusoff,CGY,G,4on5,76,27613.0,49.3,42.0,749.0,37.25,37.0,87.93,102.0,418.98,428.0,1.81,2.0,264.69,224.0,141.99,182.0,45.65,422.0,115.0,59.0,10.73,13.58,24.98,4.0,14.0,24.0,153.0,0.0,0.0
8462147,2008,Miikka Kiprusoff,CGY,G,5on4,76,29964.0,7.91,12.0,118.0,3.75,6.0,9.75,12.0,76.77,83.0,13.65,11.0,23.72,16.0,57.65,58.0,7.83,68.0,27.0,10.0,1.94,3.23,2.74,3.0,6.0,3.0,13.0,0.0,0.0
8468166,2008,Curtis Sanford,VAN,G,other,19,2386.0,7.72,8.0,74.0,2.9,4.0,6.84,7.0,37.58,32.0,1.23,1.0,23.21,17.0,10.94,16.0,6.74,29.0,13.0,11.0,0.89,1.49,5.34,1.0,1.0,6.0,21.0,0.0,0.0
8468166,2008,Curtis Sanford,VAN,G,all,19,58355.0,40.92,42.0,846.0,30.92,27.0,99.47,81.0,454.85,448.0,14.93,15.0,260.84,209.0,193.39,270.0,39.23,499.0,105.0,38.0,14.66,12.5,13.76,17.0,12.0,13.0,204.0,2.0,1.0
8468166,2008,Curtis Sanford,VAN,G,5on5,19,43310.0,24.76,26.0,604.0,20.81,17.0,76.29,62.0,329.4,332.0,10.22,9.0,185.7,149.0,144.22,201.0,24.18,378.0,65.0,21.0,11.55,7.73,5.48,14.0,10.0,2.0,140.0,0.0,0.0
8468166,2008,Curtis Sanford,VAN,G,4on5,19,6019.0,7.11,7.0,136.0,6.37,5.0,13.85,10.0,70.06,69.0,0.33,1.0,46.2,37.0,24.11,38.0,6.98,74.0,20.0,6.0,1.72,2.46,2.94,2.0,0.0,5.0,36.0,0.0,0.0
8468166,2008,Curtis Sanford,VAN,G,5on4,19,6640.0,1.33,1.0,32.0,0.84,1.0,2.49,2.0,17.81,15.0,3.15,4.0,5.73,6.0,14.11,15.0,1.32,18.0,7.0,0.0,0.5,0.83,0.0,0.0,1.0,0.0,7.0,2.0,1.0
8474488,2008,Matt Climie,DAL,G,other,3,40.0,0.02,0.0,2.0,0.04,0.0,0.18,0.0,0.7,1.0,0.0,0.0,0.37,0.0,0.37,1.0,0.02,1.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8474488,2008,Matt Climie,DAL,G,all,3,11056.0,8.65,9.0,160.0,6.43,7.0,19.61,10.0,91.09,85.0,2.72,2.0,53.25,43.0,36.09,57.0,7.92,97.0,23.0,7.0,3.01,2.92,2.72,3.0,4.0,2.0,33.0,0.0,0.0
